List generated on 03-18-2026 for Windows 11 25H2 Ent x64.
List all apps: Get-AppxPackage -allusers | Select Name, PackageFullName

Name                                           PackageFullName
Microsoft.WindowsAppRuntime.2                  Microsoft.WindowsAppRuntime.2_2.4.0.0_x86__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.2                  Microsoft.WindowsAppRuntime.2_2.4.0.0_x64__8wekyb3d8bbwe
Microsoft.GamingServices                       Microsoft.GamingServices_38.116.6003.0_x64__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.8                Microsoft.WindowsAppRuntime.1.8_8000.946.1701.0_x86__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.1.8                Microsoft.WindowsAppRuntime.1.8_8000.946.1701.0_x64__8wekyb3d8bbwe
Microsoft.AIFabric.CBS.1.6                     Microsoft.AIFabric.CBS.1.6_1.6.951.100_x64__8wekyb3d8bbwe
Microsoft.ECApp                                Microsoft.ECApp_10.0.26100.8972_neutral__8wekyb3d8bbwe
Microsoft.LockApp                              Microsoft.LockApp_10.0.26100.8972_neutral__cw5n1h2txyewy
Microsoft.WindowsAppRuntime.CBS.1.6            Microsoft.WindowsAppRuntime.CBS.1.6_6000.900.156.100_x64__8wekyb3d8bbwe
Microsoft.WindowsAppRuntime.CBS.2              Microsoft.WindowsAppRuntime.CBS.2_2.2.0.100_x64__8wekyb3d8bbwe
MicrosoftWindows.61869720.Voiess               MicrosoftWindows.61869720.Voiess_1000.26100.8972.0_x64__cw5n1h2txyewy
MicrosoftWindows.61869721.Livtop               MicrosoftWindows.61869721.Livtop_1000.26100.8972.0_x64__cw5n1h2txyewy
MicrosoftWindows.61869722.Speion               MicrosoftWindows.61869722.Speion_1000.26100.8972.0_x64__cw5n1h2txyewy
MicrosoftWindows.61869836.InpApp               MicrosoftWindows.61869836.InpApp_1000.26100.8972.0_x64__cw5n1h2txyewy
MicrosoftWindows.Client.CBS                    MicrosoftWindows.Client.CBS_1000.26100.344.0_x64__cw5n1h2txyewy
MicrosoftWindows.Client.CoreAI                 MicrosoftWindows.Client.CoreAI_1000.26100.9168.0_x64__cw5n1h2txyewy
MicrosoftWindows.Client.FileExp                MicrosoftWindows.Client.FileExp_1000.26100.9.0_x64__cw5n1h2txyewy
MicrosoftWindows.Client.OOBE                   MicrosoftWindows.Client.OOBE_1000.26100.52.0_x64__cw5n1h2txyewy
Microsoft.MicrosoftEdge.Stable                 Microsoft.MicrosoftEdge.Stable_151.0.4129.78_neutral__8wekyb3d8bbwe
